",Brand,Car,Year,City,KMS,Fuel,Transmission,Price,Emi"
"550,Skoda,KushaqStyle 1.0L TSI AT (6 Airbags),2022,Bangalore,21500.0,petrol,automatic,1487000.0,25574"
"551,Maruti,DzireZXi,2018,Bangalore,36500.0,petrol,manual,556000.0,9468"
"552,Hyundai,VernaSX 1.6 VTVT,2018,Bangalore,32500.0,petrol,manual,768000.0,13078"
"553,Honda,Amaze1.2 S i-VTEC,2016,Bangalore,36000.0,petrol,manual,438000.0,7458"
"554,Hyundai,Grand i10Asta AT 1.2 Kappa VTVT,2015,Bangalore,71000.0,petrol,automatic,432000.0,9271"
"555,Renault,KwidRXT,2016,Bangalore,17500.0,petrol,manual,302000.0,5142"
"556,Maruti,Swift DzireAutomatic,2012,Bangalore,83000.0,petrol,automatic,378000.0,14376"
"557,Hyundai,Creta1.6 SX AT,2020,Bangalore,55000.0,diesel,automatic,1268000.0,21805"
"558,Honda,BR-VV CVT Petrol,2018,Bangalore,49500.0,petrol,automatic,834000.0,14202"
"559,Hyundai,Grand i10Sportz (O) AT 1.2 Kappa VTVT,2017,Bangalore,61500.0,petrol,automatic,488999.99999999994,8327"
"560,Kia,SeltosHTX IVT G,2022,Bangalore,17500.0,petrol,automatic,1523000.0,26192"
"561,Maruti,SwiftZXI,2022,Bangalore,22500.0,petrol,manual,739000.0,12584"
"562,Honda,CityVX,2014,Bangalore,138500.0,petrol,manual,517000.0,11095"
"563,Renault,KigerRXZ Turbo CVT,2022,Bangalore,39500.0,petrol,automatic,869999.9999999999,14815"
"564,Tata,NexonXM (S),2022,Bangalore,27500.0,petrol,manual,838000.0000000001,14270"
"565,Hyundai,i20Sportz 1.2 BS-IV,2011,Bangalore,80000.0,petrol,manual,283000.0,20221"
"566,Hyundai,EonSportz,2015,Bangalore,47500.0,petrol,manual,298000.0,5085"
"567,Tata,Nexon1.2L CREATIVE Plus 6AMT Dark Edition BS6 PH2,2025,Bangalore,6500.0,petrol,automatic,1226000.0,21082"
"568,Volkswagen,Vento1.2L Highline Petrol AT,2016,Bangalore,94500.0,petrol,automatic,619000.0,9882"
"569,Nissan,MicraXL (O),2014,Bangalore,39000.0,petrol,manual,316000.0,6358"
"570,Hyundai,Elite i20Asta 1.2,2016,Bangalore,40000.0,petrol,manual,624000.0,10626"
"571,Hyundai,Elite i20Asta 1.2 AT,2018,Bangalore,42000.0,petrol,automatic,714000.0,12159"
"572,Maruti,CiazAlpha 1.4 MT,2018,Bangalore,99500.0,petrol,manual,616000.0,10490"
"573,Toyota,GlanzaV AMT,2024,Bangalore,11000.0,petrol,automatic,939000.0,15990"
"574,Tata,TiagoRevotron XE,2019,Bangalore,53000.0,petrol,manual,436000.00000000006,7424"
"575,Hyundai,ExterSX 1.2 AMT,2024,Bangalore,7500.0,petrol,automatic,894999.9999999999,15241"
"576,Maruti,IgnisDelta 1.2 MT,2023,Bangalore,13000.0,petrol,manual,609000.0,10370"
"577,Ford,FreestyleTitanium 1.2,2021,Bangalore,38000.0,petrol,manual,653000.0,11120"
"578,Hyundai,VernaFluidic 1.6 VTVT SX,2015,Bangalore,27500.0,petrol,manual,550000.0,11804"
"579,Honda,Amaze1.5 VX i-DTEC,2013,Bangalore,104000.0,diesel,manual,360000.0,9703"
"580,Honda,AmazeVX 1.2 Petrol CVT,2024,Bangalore,1000.0,petrol,automatic,997000.0000000001,16978"
"581,Hyundai,EonMagna O,2011,Bangalore,18000.0,petrol,manual,229999.99999999997,15407"
"582,Renault,Kwid1.0 RXT AMT SCE,2024,Bangalore,4500.0,petrol,automatic,563000.0,9587"
"583,Ford,FigoTrend 1.2 Ti-VCT,2016,Bangalore,20000.0,petrol,manual,426000.0,11482"
"584,Maruti,Alto K10VXi,2025,Bangalore,5500.0,petrol,manual,503000.0,8565"
"585,Honda,WR-VVX MT Petrol,2021,Bangalore,48500.0,petrol,manual,826000.0,14066"
"586,Kia,CarensPrestige Plus 1.4 Petrol MT 7 STR,2023,Bangalore,45500.0,petrol,manual,1284000.0,22082"
"587,Hyundai,VernaFluidic 1.6 VTVT SX,2011,Bangalore,47500.0,petrol,manual,375000.0,26795"
"588,Mahindra,XUV 3XOMX3 1.5 Diesel,2024,Bangalore,12500.0,diesel,manual,1131000.0,19451"
"589,Hyundai,Grand i10Sportz 1.2 Kappa VTVT Dual Tone,2019,Bangalore,23000.0,petrol,manual,579000.0,9860"
"590,Tata,NanoTwist XT Petrol,2014,Bangalore,87000.0,petrol,manual,149000.0,2997"
"591,Ford,Figo AspireTitanium 1.2 Ti-VCT,2016,Bangalore,48500.0,petrol,manual,425000.0,6785"
"592,Renault,KwidRXT,2016,Bangalore,51500.0,petrol,manual,314000.0,5347"
"593,Hyundai,VernaSX Opt IVT Petrol,2020,Bangalore,51000.0,petrol,automatic,1060000.0,18221"
"594,Tata,NexonXZ Plus (HS) Dual Tone,2022,Bangalore,40000.0,petrol,manual,997000.0000000001,16978"
"595,Maruti,Vitara BrezzaVDi (O),2018,Bangalore,32500.0,diesel,manual,765000.0,13027"
"596,Honda,CitySV Diesel,2014,Bangalore,98500.0,diesel,manual,455000.0,9765"
"597,Renault,Kwid1.0 RXT AMT Opt,2019,Bangalore,43500.0,petrol,automatic,397000.0,6760"
"598,Hyundai,Creta1.6 E +,2020,Bangalore,44500.0,diesel,manual,1072000.0,18436"
"599,Maruti,CelerioZXi,2016,Bangalore,28000.0,petrol,manual,412000.0,7016"
"600,Mahindra,XUV 300W8 (O) 1.2 Petrol AMT,2024,Bangalore,9000.0,petrol,automatic,1164000.0,20009"
"601,Renault,KwidRXT,2020,Bangalore,33000.0,petrol,manual,347000.0,5909"
"602,Mahindra,Scorpio NZ8 L Diesel AT 7 STR,2022,Bangalore,100000.0,diesel,automatic,1827000.0,31419"
"603,Maruti,CelerioZXI (O) AMT,2018,Bangalore,40500.0,petrol,automatic,512000.0,8719"
"604,Hyundai,Elite i20Asta 1.4 CRDI (O),2015,Bangalore,70000.0,diesel,manual,598000.0,10885"
"605,Kia,SeltosGTX Plus DCT,2020,Bangalore,72500.0,petrol,automatic,1321000.0,22718"
"606,Honda,JazzZX CVT,2022,Bangalore,22000.0,petrol,automatic,975000.0,15565"
"607,Hyundai,EonMagna +,2015,Bangalore,45500.0,petrol,manual,254999.99999999997,4351"
"608,Tata,HarrierXZA Plus,2021,Bangalore,53500.0,diesel,automatic,1682999.9999999998,28945"
"609,Kia,SonetHTX 1.0 iMT,2023,Bangalore,8500.0,petrol,manual,1126000.0,19365"
"610,Toyota,GlanzaS E-CNG,2023,Bangalore,82000.0,petrol+cng,manual,670000.0,11409"
"611,Maruti,S-CrossZeta 1.3,2017,Bangalore,66500.0,diesel,manual,721000.0,12278"
"612,Hyundai,i10Sportz 1.2 AT Kappa2,2011,Bangalore,30500.0,petrol,automatic,271000.0,19363"
"613,Hyundai,Grand i10Asta 1.2 Kappa VTVT (O),2015,Bangalore,41500.0,petrol,manual,459000.0,8354"
"614,Hyundai,Elite i20Asta 1.2,2017,Bangalore,67000.0,petrol,manual,590000.0,10047"
"615,Tata,NexonXZ Plus Dark Edition,2021,Bangalore,25500.0,petrol,manual,919999.9999999999,15667"
"616,Kia,SonetHTX 1.0 iMT,2024,Bangalore,8500.0,petrol,manual,1118000.0,19227"
"617,Honda,BrioEX MT,2013,Bangalore,47000.0,petrol,manual,294000.0,7429"
"618,Mahindra,KUV100K6 6 STR,2016,Bangalore,38500.0,petrol,manual,398000.0,6777"
"619,Tata,NexonXZA Plus (O) Diesel,2022,Bangalore,50000.0,diesel,automatic,1119000.0,19244"
"620,Hyundai,XcentSX 1.2,2016,Bangalore,77500.0,petrol,manual,409999.99999999994,6545"
"621,Honda,BrioVX AT,2017,Bangalore,41000.0,petrol,automatic,544000.0,8685"
"622,Maruti,CiazS 1.3 Hybrid,2018,Bangalore,106000.0,diesel,manual,623000.0,10609"
"623,Volkswagen,Vento1.2L Highline Petrol AT,2016,Bangalore,64500.0,petrol,automatic,673000.0,10744"
"624,Renault,DusterRXZ 1.5 Petrol MT,2021,Bangalore,40000.0,petrol,manual,724000.0,12329"
"625,Hyundai,VenueSX (O) 1.0 Turbo iMT,2022,Bangalore,22000.0,petrol,manual,1106000.0,19021"
"626,Mahindra,Scorpio NZ8 Diesel AT 7 STR,2023,Bangalore,80000.0,diesel,automatic,1830000.0,31473"
"627,Renault,KwidRXL,2017,Bangalore,60000.0,petrol,manual,287000.0,4887"
"628,Hyundai,Grand i10Asta AT 1.2 Kappa VTVT,2014,Bangalore,58500.0,petrol,automatic,461000.00000000006,9893"
"629,Maruti,CelerioZXi AMT,2015,Bangalore,86500.0,petrol,automatic,363000.0,6607"
"630,Tata,TiagoRevotron XZA AMT,2018,Bangalore,29500.0,petrol,automatic,536000.0,7016"
"631,Mahindra,Scorpio NZ8 L 4WD Diesel 7 STR,2025,Bangalore,12500.0,diesel,manual,2048999.9999999998,35240"
"632,Honda,WR-VVX MT Diesel,2018,Bangalore,68500.0,diesel,manual,614000.0,10456"
"633,Renault,Duster85 PS RXS MT,2017,Bangalore,58500.0,diesel,manual,720000.0,12261"
"634,Maruti,Alto 800Vxi,2014,Bangalore,60000.0,petrol,manual,269000.0,5989"
"635,Honda,CityV,2016,Bangalore,142000.0,petrol,manual,505999.99999999994,8616"
"636,Mahindra,XUV700AX 5 Diesel AT 7 STR,2022,Bangalore,53000.0,diesel,automatic,1950000.0,33536"
"637,Maruti,Vitara BrezzaZDI Plus  Dual Tone,2018,Bangalore,75500.0,diesel,manual,768000.0,13078"
"638,Tata,HexaXTA,2017,Bangalore,75000.0,diesel,automatic,1085000.0,17492"
"639,Mahindra,XUV700AX 5 Diesel AT 7 STR,2024,Bangalore,15000.0,diesel,automatic,2153000.0,37029"
"640,Maruti,Alto K10VXi,2012,Bangalore,69500.0,petrol,manual,206999.99999999997,7872"
"641,Hyundai,VenueSX(O) 1.5 CRDI,2021,Bangalore,45500.0,diesel,manual,977999.9999999999,16654"
"642,Hyundai,Elite i20Asta 1.2,2019,Bangalore,79000.0,petrol,manual,622000.0,10592"
"643,Honda,CityV CVT Petrol,2021,Bangalore,92000.0,petrol,automatic,975000.0,16603"
"644,Maruti,SwiftZXI,2014,Bangalore,33500.0,petrol,manual,493000.0,10580"
"645,Renault,Kwid1.0 RXT AMT Opt,2016,Bangalore,19000.0,petrol,automatic,377000.0,6420"
"646,Hyundai,VernaFluidic 1.6 VTVT SX,2015,Bangalore,56000.0,petrol,manual,509000.0,10924"
"647,Honda,CityVX CVT,2015,Bangalore,84500.0,petrol,automatic,568000.0,10338"
"648,Renault,KwidRXL,2016,Bangalore,63500.0,petrol,manual,291000.0,4955"
"649,Ford,EcoSportTitanium + 1.5L Ti-VCT AT,2019,Bangalore,77000.0,petrol,automatic,851000.0,14492"
"650,Maruti,DzireVXi AMT,2019,Bangalore,50000.0,petrol,automatic,645000.0,10983"
"651,Maruti,BalenoZeta 1.2 AT,2018,Bangalore,44500.0,petrol,automatic,574000.0,9774"
"652,Maruti,CiazAlpha AT Petrol,2018,Bangalore,60500.0,petrol,automatic,719000.0,12244"
"653,Honda,CityZX Petrol,2021,Bangalore,67000.0,petrol,manual,1106000.0,19021"
"654,Maruti,BalenoAlpha AT Petrol,2018,Bangalore,77000.0,petrol,automatic,671000.0,11426"
"655,Maruti,Alto 800Lxi,2014,Bangalore,39500.0,petrol,manual,275000.0,6122"
"656,Ford,EcoSportTrend 1.5L TDCi,2017,Bangalore,89000.0,diesel,manual,595000.0,10132"
"657,Mahindra,XUV500W6,2016,Bangalore,68500.0,diesel,manual,875000.0,15638"
"658,Maruti,Swift DzireVDI,2013,Bangalore,64000.0,diesel,manual,472000.0,12722"
"659,Maruti,Wagon R 1.2ZXI Plus AMT,2022,Bangalore,10500.0,petrol,automatic,672000.0,11443"
"660,Maruti,BalenoAlpha AGS,2023,Bangalore,15000.0,petrol,automatic,949000.0,16160"
"661,Maruti,BalenoAlpha 1.2 AT,2017,Bangalore,26000.0,petrol,automatic,671000.0,11426"
"662,Hyundai,Grand i10Sportz 1.2 Kappa VTVT,2014,Bangalore,43000.0,petrol,manual,361000.0,7747"
"663,Ford,EcoSportTitanium+ 1.5L TDCi,2017,Bangalore,118500.0,diesel,manual,606000.0,10319"
"664,Maruti,Vitara BrezzaZDi,2018,Bangalore,63000.0,diesel,manual,795000.0,13538"
"665,Mahindra,TharLX 4 STR Hard Top Petrol AT 4WD,2021,Bangalore,35500.0,petrol,automatic,1324000.0,22768"
"666,Maruti,BalenoDelta 1.2 AT,2018,Bangalore,35500.0,petrol,automatic,639000.0,10881"
"667,Tata,TiagoRevotron XZA AMT,2017,Bangalore,126500.0,petrol,automatic,437000.0,7441"
"668,Maruti,CelerioVXI AMT,2015,Bangalore,41500.0,petrol,automatic,407000.0,7408"
"669,Maruti,Vitara BrezzaVDi (O),2018,Bangalore,74000.0,diesel,manual,725000.0,12346"
"670,Kia,SeltosGTX Plus AT D,2021,Bangalore,43500.0,diesel,automatic,1549000.0,26639"
"671,Hyundai,AuraS 1.2 CNG,2022,Bangalore,46500.0,petrol+cng,manual,687000.0,11699"
"672,Tata,TiagoRevotron XT,2019,Bangalore,72500.0,petrol,manual,468000.0,7969"
"673,Hyundai,New Santro 1.1Sportz MT,2019,Bangalore,49500.0,petrol,manual,470000.0,7503"
"674,Renault,Duster85 PS RxL Diesel,2015,Bangalore,72000.0,diesel,manual,574000.0,12319"
"675,Maruti,CelerioZXi (O) AMT,2020,Bangalore,31500.0,petrol,automatic,583000.0,9928"
"676,Tata,TiagoRevotron XZ,2018,Bangalore,20000.0,petrol,manual,505000.0,8599"
"677,Ford,EcoSportTitanium + 1.5L TDCi,2020,Bangalore,63500.0,diesel,manual,911999.9999999999,15530"
"678,Renault,Duster110 PS RXZ 4X2 MT,2017,Bangalore,89000.0,diesel,manual,669000.0,11392"
"679,Maruti,Swift DzireVDI,2014,Bangalore,63000.0,diesel,manual,468000.0,10044"
"680,Hyundai,Creta1.6 SX (O),2015,Bangalore,46500.0,diesel,manual,776000.0,14125"
"681,Renault,KwidCLIMBER 1.0 AMT,2019,Bangalore,40000.0,petrol,automatic,424000.0,7220"
"682,Hyundai,New Santro 1.1Magna AMT,2020,Bangalore,26500.0,petrol,automatic,518000.0,8269"
"683,Renault,Duster85 PS RxL Diesel,2014,Bangalore,59000.0,diesel,manual,584000.0,12533"
"684,Hyundai,Grand i10Magna 1.2 Kappa VTVT,2019,Bangalore,500.0,petrol,manual,557000.0,9485"
"685,Hyundai,Elite i20Asta 1.4 CRDI,2017,Bangalore,101000.0,diesel,manual,626000.0,10660"
"686,Hyundai,Creta1.6L SX VTVT,2019,Bangalore,52000.0,petrol,manual,834000.0,14202"
"687,Hyundai,Fluidic Verna 4S1.6 VTVT SX,2017,Bangalore,83000.0,petrol,manual,615000.0,10473"
"688,Maruti,Vitara BrezzaZDi Plus Dual Tone AGS,2018,Bangalore,79500.0,diesel,automatic,780000.0,13589"
"689,Mercedes,C-ClassC 200 Avantgarde,2016,Delhi,41500.0,petrol,automatic,1800000.0,30957"
"690,Hyundai,VenueSX Plus 1.0 Turbo DCT,2020,Delhi,62000.0,petrol,automatic,846000.0000000001,14406"
"691,Maruti,Wagon R 1.0VXI AMT,2018,Delhi,79000.0,petrol,automatic,361000.0,6451"
"692,Ford,EcoSportTitanium + 1.5L Ti-VCT AT,2018,Delhi,94000.0,petrol,automatic,644000.0,10966"
"693,Ford,EcoSportTitanium 1.5 Ti-VCT AT,2014,Delhi,75500.0,petrol,automatic,450000.0,9657"
"694,Honda,WR-VS MT Petrol,2017,Delhi,58000.0,petrol,manual,473000.00000000006,8054"
"695,Hyundai,CretaSX OPT Turbo DCT Petrol,2022,Delhi,57000.0,petrol,automatic,1480000.0,25453"
"696,Hyundai,VenueSX Plus 1.0 Turbo DCT,2019,Delhi,42500.0,petrol,automatic,822000.0000000001,13998"
"697,Hyundai,VernaSX 1.6 VTVT,2020,Delhi,40000.0,petrol,manual,807000.0,13742"
"698,Mercedes,E-ClassE200 Expression,2018,Delhi,57000.0,petrol,automatic,3450000.0,59336"
"699,Hyundai,VernaSX (O)1.6 VTVT,2019,Delhi,34500.0,petrol,manual,899000.0,15309"
"700,Maruti,New ErtigaZXi Plus,2019,Delhi,62000.0,petrol,manual,770000.0,13112"
"701,Tata,NexonXZ Plus,2021,Delhi,121000.0,petrol,manual,674000.0,11477"
"702,Honda,CityVX CVT,2015,Delhi,88000.0,petrol,automatic,583000.0,10612"
"703,Skoda,SlaviaActive 1.0L TSI MT,2022,Delhi,47500.0,petrol,manual,874000.0,14883"
"704,Mahindra,XUV700AX 7 Diesel AT Luxury Pack 7 STR,2024,Delhi,28500.0,diesel,automatic,2091000.0,35962"
"705,Kia,CarnivalLimousine,2022,Delhi,100000.0,diesel,automatic,2424000.0,41687"
"706,Tata,TiagoXZA,2020,Delhi,27500.0,petrol,automatic,509999.99999999994,8685"
"707,Skoda,KushaqAmbition 1.0L TSI AT,2022,Delhi,31000.0,petrol,automatic,1127000.0,19382"
"708,Tata,NexonXZA Plus (O),2021,Delhi,29500.0,petrol,automatic,891000.0,15173"
"709,Hyundai,VenueSX Plus 1.0 Turbo DCT,2020,Delhi,57000.0,petrol,automatic,864000.0,14713"
"710,MG,HectorSharp 2.0 Diesel Turbo MT,2021,Delhi,46000.0,diesel,manual,1441000.0,24781"
"711,Hyundai,CretaSX OPT Turbo DCT Petrol,2020,Delhi,64500.0,petrol,automatic,1161000.0,19966"
"712,Toyota,Fortuner2.7 2WD MT Petrol,2016,Delhi,41000.0,petrol,manual,1989999.9999999998,34225"
"713,Kia,SonetGTX Plus 1.0 iMT,2020,Delhi,32000.0,petrol,manual,881000.0,15002"
"714,Hyundai,ExterSX (O) Connect 1.2 MT Dual Tone,2023,Delhi,41500.0,petrol,manual,751000.0,12789"
"715,Renault,KigerRXZ Turbo CVT Dual Tone,2021,Delhi,40500.0,petrol,automatic,725000.0,12346"
"716,Honda,JazzV Petrol,2016,Delhi,46500.0,petrol,manual,430000.0,6864"
"717,Mahindra,Alturas G44WD AT,2021,Delhi,65000.0,diesel,automatic,2150000.0,36976"
"718,Hyundai,Creta1.6 SX Plus Auto Petrol,2017,Delhi,91000.0,petrol,automatic,780000.0,13282"
"719,Toyota,Corolla AltisVL CVT Petrol,2018,Delhi,57500.0,petrol,automatic,1083000.0,18630"
"720,Kia,SonetGTX Plus 1.0 iMT,2021,Delhi,22000.0,petrol,manual,988000.0000000001,16825"
"721,Mahindra,XUV 300W8 (O) Petrol,2019,Delhi,49500.0,petrol,manual,752000.0,12806"
"722,MG,HectorSharp 1.5 Petrol CVT,2021,Delhi,65000.0,petrol,automatic,1274000.0,21910"
"723,Honda,CityZX CVT,2017,Delhi,97500.0,petrol,automatic,740000.0,12601"
"724,Honda,JazzV AT Petrol,2017,Delhi,66500.0,petrol,automatic,459000.0,7327"
"725,Ford,EcoSportTitanium 1.5L Ti-VCT,2017,Delhi,52000.0,petrol,manual,520000.0,8855"
"726,Ford,EcoSportAmbiente 1.5L Ti-VCT,2019,Delhi,62000.0,petrol,manual,542000.0,9229"
"727,Honda,Amaze1.2 V MT Petrol,2020,Delhi,122000.0,petrol,manual,553000.0,9417"
"728,Hyundai,VernaSX (O)1.6 VTVT,2018,Delhi,68000.0,petrol,manual,801000.0,13640"
"729,Maruti,ErtigaVXI,2016,Delhi,79000.0,petrol,manual,561000.0,9553"
"730,Tata,NexonXZ Plus (O),2022,Delhi,45500.0,petrol,manual,880000.0000000001,14985"
"731,Maruti,XL6Zeta AT Petrol,2022,Delhi,39000.0,petrol,automatic,1077000.0,18522"
"732,Kia,SeltosHTX Plus D,2021,Delhi,84500.0,diesel,manual,1132000.0,19468"
"733,Ford,EcoSportTitanium 1.5L Ti-VCT AT,2017,Delhi,43000.0,petrol,automatic,583000.0,9928"
"734,Renault,KigerRXT MT,2021,Delhi,58500.0,petrol,manual,490000.00000000006,8344"
"735,Nissan,MagniteXV Premium Turbo CVT,2021,Delhi,30500.0,petrol,automatic,818000.0,14287"
"736,Ford,EcoSportTitanium 1.0 Ecoboost,2014,Delhi,67500.0,petrol,manual,424000.0,9099"
"737,BMW,X1sDrive20i SportX,2021,Delhi,28500.0,petrol,automatic,2650000.0,45576"
"738,Tata,NexonXZ Plus,2019,Delhi,52000.0,petrol,manual,660000.0,11239"
"739,Kia,SeltosGTX Plus DCT,2019,Delhi,49500.0,petrol,automatic,1111000.0,19107"
"740,Maruti,CelerioZXi Plus AMT,2022,Delhi,96000.0,petrol,automatic,512000.0,8719"
"741,Maruti,S-CrossSigma,2021,Delhi,43000.0,petrol,manual,671000.0,11426"
"742,Jeep,Compass80 Anniversary 2.0 Diesel 4x4 AT,2021,Delhi,26500.0,diesel,automatic,1889999.9999999998,32505"
"743,Tata,SafariXT Plus Dark Edition,2023,Delhi,23500.0,diesel,manual,1672000.0,28754"
"744,Tata,NexonXZ Plus S,2021,Delhi,29000.0,petrol,manual,874000.0,14883"
"745,Honda,CityV,2016,Delhi,51000.0,petrol,manual,558000.0,9502"
"746,Tata,TiagoRevotron XZA AMT,2019,Delhi,29500.0,petrol,automatic,476000.0,8106"
"747,Renault,KigerRXZ MT,2021,Delhi,35500.0,petrol,manual,597000.0,10166"
"748,Kia,SonetGTX Plus 1.5 AT,2020,Delhi,114000.0,diesel,automatic,897000.0000000001,15275"
"749,Tata,TiagoXZ CNG (Outside Fitted),2016,Delhi,72500.0,cng,manual,336000.0,5721"
"750,Maruti,CelerioVXi,2019,Delhi,17000.0,petrol,manual,363000.0,6181"
"751,Volkswagen,VentoHighline Plus 1.0L TSI Petrol AT,2020,Delhi,97000.0,petrol,automatic,739000.0,11798"
"752,Honda,City1.5 V MT,2013,Delhi,70500.0,petrol,manual,364000.0,9811"
"753,Tata,NexonXZ Plus (HS),2022,Delhi,29000.0,petrol,manual,911999.9999999999,15530"
"754,Maruti,IgnisZeta 1.2 AMT,2019,Delhi,85000.0,petrol,automatic,441000.0,7509"
"755,Renault,KigerRXZ AMT Dual Tone,2021,Delhi,6500.0,petrol,automatic,676000.0,11511"
"756,Maruti,CiazAlpha Hybrid 1.5 AT,2019,Delhi,65500.0,petrol,automatic,738000.0,12567"
"757,Toyota,Fortuner2.7 2WD AT Petrol,2018,Delhi,80000.0,petrol,automatic,2300000.0,39556"
"758,Maruti,DzireVXi AMT,2020,Delhi,86500.0,petrol,automatic,587000.0,9996"
"759,Maruti,SwiftZXI,2014,Delhi,65500.0,petrol,manual,352000.0,7554"
"760,Nissan,MagniteXV,2022,Delhi,61000.0,petrol,manual,549000.0,9349"
"761,Hyundai,Elite i20Magna 1.2,2015,Delhi,78000.0,petrol,manual,335000.0,6097"
"762,Tata,NexonXZ Plus (O),2022,Delhi,46000.0,petrol,manual,878999.9999999999,14968"
"763,Hyundai,VernaFluidic 1.6 VTVT SX,2012,Delhi,56000.0,petrol,manual,352000.0,13387"
"764,Honda,CityVX CVT,2014,Delhi,91500.0,petrol,automatic,543000.0,11653"
"765,Hyundai,Creta1.6 SX Plus Petrol,2017,Delhi,89000.0,petrol,manual,668000.0,11375"
"766,Ford,EcoSportTitanium 1.5L Ti-VCT,2015,Delhi,66000.0,petrol,manual,484000.0,8809"
"767,Kia,SeltosGTX,2019,Delhi,87000.0,petrol,manual,997000.0000000001,16978"
"768,Tata,NexonXZA Plus Dualtone Roof (O) AMT,2021,Delhi,30000.0,petrol,automatic,946000.0000000001,16109"
"769,Tata,NexonXZA Plus AMT S,2022,Delhi,25500.0,petrol,automatic,949000.0,16160"
"770,Honda,CityZX CVT Petrol,2018,Delhi,64000.0,petrol,automatic,827000.0,14083"
"771,MG,HectorSharp 2.0 Diesel Turbo MT,2021,Delhi,47500.0,diesel,manual,1480000.0,25458"
"772,Honda,CityVX CVT Petrol,2020,Delhi,59000.0,petrol,automatic,818000.0,13930"
"773,Ford,EcoSportTitanium 1.5L Ti-VCT AT,2017,Delhi,56000.0,petrol,automatic,589000.0,10030"
"774,Honda,WR-VVX MT Petrol,2018,Delhi,29500.0,petrol,manual,652000.0,11103"
"775,Hyundai,VenueSX 1.0 (O) Petrol,2019,Delhi,99000.0,petrol,manual,702000.0,11954"
"776,Renault,TriberRXZ,2020,Delhi,17500.0,petrol,manual,519000.00000000006,8838"
"777,Maruti,CiazAlpha Petrol,2019,Delhi,65000.0,petrol,manual,682000.0,11614"
"778,Hyundai,i20 Active1.2 S,2015,Delhi,58000.0,petrol,manual,403000.0,7335"
"779,Hyundai,Creta1.6 SX Plus Auto Petrol,2017,Delhi,98000.0,petrol,automatic,780000.0,13282"
"780,Kia,SeltosGTX Plus,2020,Delhi,56000.0,petrol,manual,1222000.0,21014"
"781,Toyota,Corolla AltisVL CVT Petrol,2018,Delhi,94500.0,petrol,automatic,928999.9999999999,15820"
"782,Renault,KigerRXZ Turbo CVT Dual Tone,2023,Delhi,4500.0,petrol,automatic,951000.0,16194"
"783,Ford,EcoSportTitanium 1.0 Ecoboost,2014,Delhi,43500.0,petrol,manual,425000.0,9121"
"784,Kia,SeltosGTX Plus DCT,2021,Delhi,76500.0,petrol,automatic,1342000.0,23079"
"785,Hyundai,VenueSX Plus 1.0 Turbo DCT,2019,Delhi,73000.0,petrol,automatic,779000.0,13265"
"786,Hyundai,CretaSX OPT Turbo DCT Petrol,2022,Delhi,72000.0,petrol,automatic,1454000.0,25005"
"787,Audi,A335 TFSI Premium Plus,2019,Delhi,63000.0,petrol,automatic,1800000.0,30957"
"788,Renault,DusterRXL Petrol,2016,Delhi,87000.0,petrol,manual,432000.0,7356"
"789,MG,Hector1.5 Sharp DCT,2020,Delhi,61000.0,petrol,automatic,1032000.0,17748"
"790,Maruti,CelerioVXi,2020,Delhi,51000.0,petrol,manual,426999.99999999994,7271"
"791,Maruti,BalenoDelta 1.2,2016,Delhi,64000.0,petrol,manual,426999.99999999994,7271"
"792,Honda,JazzS AT,2016,Delhi,52500.0,petrol,automatic,436000.00000000006,6960"
"793,Ford,FigoTitanium Plus 1.2 Ti-VCT AT,2021,Delhi,72000.0,petrol,automatic,571000.0,9723"
"794,Kia,SonetHTX Plus 1.0 iMT,2022,Delhi,28500.0,petrol,manual,1041000.0,17902"
"795,Hyundai,Grand i10 NiosSportz 1.2 Kappa VTVT,2022,Delhi,119500.0,petrol,manual,505999.99999999994,8616"
"796,Tata,NexonXZ Plus,2023,Delhi,38500.0,petrol,manual,897000.0000000001,15275"
"797,Honda,CityZX CVT,2017,Delhi,72500.0,petrol,automatic,780000.0,13282"
"798,Hyundai,Elite i20Sportz 1.2,2016,Delhi,72500.0,petrol,manual,466000.0,7935"
"799,Kia,SeltosHTX IVT G,2020,Delhi,53000.0,petrol,automatic,1046000.0000000001,17988"
"800,Tata,TiagoXZ Plus Dual Tone Roof,2019,Delhi,64500.0,petrol,manual,467000.0,7952"
"801,Maruti,SwiftVXI AMT,2020,Delhi,48000.0,petrol,automatic,569000.0,9689"
"802,Honda,JazzZX CVT,2021,Delhi,51500.0,petrol,automatic,696000.0,11111"
"803,Kia,SonetGTX Plus 1.5 AT,2020,Delhi,51500.0,diesel,automatic,997000.0000000001,16978"
"804,Hyundai,AlcazarSignature (O) 6 STR 1.5 Diesel AT,2022,Delhi,47000.0,diesel,automatic,1580000.0,28518"
"805,Ford,EcoSportTitanium 1.5L Ti-VCT AT,2016,Delhi,106500.0,petrol,automatic,512000.0,8719"
"806,Tata,AltrozXZ 1.2,2022,Delhi,16000.0,petrol,manual,694000.0,11818"
"807,Hyundai,New i20Asta (O) 1.2 MT,2021,Delhi,107500.0,petrol,manual,658000.0,11205"
"808,Renault,TriberRXT Limited Edition,2023,Delhi,58500.0,petrol,manual,539000.0,9178"
